Hip,Sex,Sire,State,TBX #,Day / Set,Distance,UT Time,GO Time,G.O. 1/4,G.O. 3/8,G.O. 1/2,G.O. 5/8,A.W. 1/8,A.W. 1/4,A.W. 3/8,DI,CD,Wind,Temp,Notes,Track Cond.,Barn,Consignor,Auction History,Stud Fee
525,F,Twirling Candy,KY,,3 / 120,1/8,10.1,,,,,,,,,,,,,,,9,"Old South Farm LLC, Agent",,
526,C,Practical Joke,KY,,3 / 152,1/8,9.4,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XLIV",,
527,F,Justify,KY,,3 / 4,1/8,10.0,,,,,,,,,,,,,,,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,
528,F,Mandaloun,KY,,3 / 106,1/8,10.2,,,,,,,,,,,,,,,4,"Kinsman Farm, Agent IV",,
530,F,Munnings,KY,,3 / 14,1/8,10.0,,,,,,,,,,,,,,,13,"Blue River Bloodstock, Inc., Agent I",,
531,F,Imperial Hint,LA,,3 / 154,1/8,10.1,,,,,,,,,,,,,,,16,"Golden Rock Thoroughbreds, Agent I",,
532,F,Mo Donegal,KY,,3 / 162,1/8,10.2,,,,,,,,,,,,,,,14,"Omar Ramirez Bloodstock, Agent VI",,
533,F,Independence Hall,NY,,3 / 32,1/8,9.4,,,,,,,,,,,,,,,16,"Golden Rock Thoroughbreds, Agent",,
534,F,Liam's Map,KY,,3 / 38,1/8,10.0,,,,,,,,,,,,,,,13,"Azpurua Stables, Agent I",,
535,C,Uncle Chuck,FL,,3 / 115,1/8,10.1,,,,,,,,,,,,,,,6,"McKathan Bros. Sales, Agent",,
536,F,Epicenter,KY,,3 / 63,1/8,10.1,,,,,,,,,,,,,,,17,"Cruzin' Thoroughbreds LLC, Agent",,
537,F,Roadster,FL,,3 / 11,1/4,20.3,,,,,,,,,,,,,,,4,Ocala Stud,,
538,F,Epicenter,KY,,3 / 86,1/8,10.4,,,,,,,,,,,,,,,8,"Paul Sharp, Agent II",,
539,F,Drain the Clock,KY,,3 / 22,1/8,10.0,,,,,,,,,,,,,,,3,"Pick View LLC, Agent VI",,
540,F,Munnings,NY,,3 / 107,1/8,10.2,,,,,,,,,,,,,,,17,Next Level Thoroughbreds,,
541,C,Into Mischief,KY,,3 / 46,1/8,10.2,,,,,,,,,,,,,,,8,"Niall Brennan Stables, Agent X",,
542,C,Jackie's Warrior,KY,,3 / 7,1/4,21.1,,,,,,,,,,,,,,,3,"Pick View LLC, Agent XXIII",,
543,C,Omaha Beach,KY,,3 / 33,1/8,10.1,,,,,,,,,,,,,,,6,"Britton Peak, Agent II",,
544,C,Violence,NY,,3 / 140,1/8,10.1,,,,,,,,,,,,,,,15,"Golden Thoroughbreds Training and Sales, Agent II",,
545,C,Greatest Honour,OH,,3 / 101,1/8,10.3,,,,,,,,,,,,,,,11,"Randy Miles, Agent II",,
546,F,Nashville,KY,,3 / 145,1/8,10.2,,,,,,,,,,,,,,,7,"Julie Davies LLC, Agent",,
547,C,Caracaro,KY,,3 / 76,1/8,10.1,,,,,,,,,,,,,,,16,"Doble J Equine Sales, Agent I",,
548,C,Oscar Performance,KY,,3 / 131,1/8,10.0,,,,,,,,,,,,,,,7,"Hoppel LLC, Agent I",,
550,C,Candy Ride (ARG),KY,,3 / 143,1/8,10.2,,,,,,,,,,,,,,,11,"Randy Miles, Agent VIII",,
552,F,Colonel Liam,FL,,3 / 150,1/8,10.2,,,,,,,,,,,,,,,3,"Pick View LLC, Agent XXXIV",,
553,C,Idol,NY,,3 / 66,1/8,10.4,,,,,,,,,,,,,,,16,"Cuatro Caminos, Agent",,
555,F,Munnings,NY,,3 / 94,1/8,10.2,,,,,,,,,,,,,,,8,"Niall Brennan Stables, Agent II",,
558,C,Jackie's Warrior,KY,,3 / 81,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XVI",,
559,C,Vekoma,KY,,3 / 70,1/8,10.0,,,,,,,,,,,,,,,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent IV",,
560,F,Life Is Good,KY,,3 / 103,1/8,10.1,,,,,,,,,,,,,,,3,"Pick View LLC, Agent VII",,
561,C,Life Is Good,KY,,3 / 1,1/8,9.4,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XXXVIII",,
562,C,Keepmeinmind,NY,,3 / 135,1/4,21.4,,,,,,,,,,,,,,,6,RiceHorse Stable (Brandon & Ali Rice),,
563,C,Tiz the Law,NY,,3 / 137,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XLV",,
564,F,Maclean's Music,KY,,3 / 78,1/8,10.1,,,,,,,,,,,,,,,3,"Pick View LLC, Agent III",,
567,F,Greatest Honour,KY,,3 / 102,1/8,10.1,,,,,,,,,,,,,,,7,"Hoppel LLC, Agent XXVI",,
568,F,Tiz the Law,PA,,3 / 118,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XLII",,
570,C,Epicenter,NY,,3 / 128,1/8,10.4,,,,,,,,,,,,,,,8,"Niall Brennan Stables, Agent VIII",,
571,F,Leinster,FL,,3 / 124,1/8,10.0,,,,,,,,,,,,,,,16,"RM Stables LLC, Agent II",,
572,C,Mendelssohn,KY,,3 / 45,1/8,9.4,,,,,,,,,,,,,,,17,"Dark Star Thoroughbreds (Stori Atchison), Agent",,
573,F,Mind Control,NY,,3 / 100,1/4,21.0,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent",,
574,F,Mo Donegal,KY,,3 / 126,1/8,10.0,,,,,,,,,,,,,,,14,"Little Farm Equine LLC, Agent IV",,
575,C,Gone Astray,FL,,3 / 96,1/8,10.2,,,,,,,,,,,,,,,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,
576,C,Yaupon,KY,,3 / 43,1/8,9.4,,,,,,,,,,,,,,,1,"Kings Equine, Agent IV",,
577,F,Funtastic,KY,,3 / 36,1/8,10.1,,,,,,,,,,,,,,,18,Twelve Toes LLC,,
578,C,Epicenter,NY,,3 / 18,1/8,10.0,,,,,,,,,,,,,,,9,"Sequel Bloodstock, Agent for Chester Broman",,
581,C,Tapit,KY,,3 / 73,1/8,10.2,,,,,,,,,,,,,,,12,"de Meric Sales, Agent",,
582,F,Improbable,KY,,3 / 85,1/8,10.0,,,,,,,,,,,,,,,13,"Marco Hernandez Stables LLC, Agent II",,
583,C,Cyberknife,KY,,3 / 113,1/8,10.1,,,,,,,,,,,,,,,12,"de Meric Sales, Agent XII",,
585,C,Gunnevera,FL,,3 / 35,1/8,10.3,,,,,,,,,,,,,,,17,Champions of the Future,,
586,F,Flameaway,KY,,3 / 83,1/8,10.0,,,,,,,,,,,,,,,3,"J V C Training and Sales, Agent II",,
587,C,Cyberknife,KY,,3 / 39,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XXX",,
588,C,Complexity,KY,,3 / 59,1/8,10.2,,,,,,,,,,,,,,,16,Two Brother's Equine,,
589,C,Uncle Mo,KY,,3 / 54,1/8,10.1,,,,,,,,,,,,,,,11,"Randy Miles, Agent VIII",,
590,F,Tapwrit,FL,,3 / 67,1/4,21.1,,,,,,,,,,,,,,,4,"Ocala Stud, Agent",,
592,F,Tacitus,NY,,3 / 27,1/4,21.3,,,,,,,,,,,,,,,13,"Blue Sapphire Stables, Agent VI",,
593,C,Drain the Clock,KY,,3 / 75,1/8,10.1,,,,,,,,,,,,,,,7,"Hoppel LLC, Agent XX",,
594,C,Mo Donegal,KY,,3 / 129,1/8,10.1,,,,,,,,,,,,,,,18,"Navas Equine, Agent II",,
595,F,Drain the Clock,KY,,3 / 92,1/8,9.4,,,,,,,,,,,,,,,17,J & R Thoroughbreds LLC,,
596,F,Cyberknife,KY,,3 / 99,1/8,10.1,,,,,,,,,,,,,,,18,Golden Noguez,,
598,C,Golden Pal,KY,,3 / 19,1/8,9.3,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent VIII",,
599,F,Strike Power,LA,,3 / 64,1/8,10.0,,,,,,,,,,,,,,,14,"Omar Ramirez Bloodstock, Agent XXI",,
600,C,Jack Christopher,KY,,3 / 130,1/8,10.0,,,,,,,,,,,,,,,3,"Pick View LLC, Agent XIX",,
601,F,Nashville,PA,,3 / 80,1/8,10.0,,,,,,,,,,,,,,,3,"Global Thoroughbreds LLC, Agent",,
602,C,Hard Spun,KY,,3 / 60,1/8,10.2,,,,,,,,,,,,,,,17,"Caliente Thoroughbreds, Agent XIII",,
603,F,Cyberknife,KY,,3 / 151,1/8,10.4,,,,,,,,,,,,,,,3,"J V C Training and Sales, Agent I",,
604,F,Aloha West,KY,,3 / 105,1/8,10.4,,,,,,,,,,,,,,,6,RiceHorse Stable (Brandon & Ali Rice),,
605,C,Mo Donegal,KY,,3 / 55,1/8,10.1,,,,,,,,,,,,,,,15,"Triple C Sales, Agent",,
606,C,Mutasaabeq,FL,,4 / 121,1/8,10.1,,,,,,,,,,,,,,,13,"Duffy's Racing LLC, Agent I",,
607,C,Authentic,NY,,3 / 134,1/8,9.4,,,,,,,,,,,,,,,12,"de Meric Sales, Agent XIV",,
609,C,Win Win Win,NY,,3 / 159,1/8,10.1,,,,,,,,,,,,,,,1,"Kings Equine, Agent I",,
610,F,Cyberknife,KY,,3 / 3,1/4,20.4,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent VI",,
611,C,Speightstown,KY,,3 / 148,1/8,10.0,,,,,,,,,,,,,,,6,"Britton Peak, Agent VIII",,
612,C,Nashville,KY,,3 / 89,1/8,10.1,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent II",,
615,F,Liam's Map,KY,,4 / 56,1/8,9.4,,,,,,,,,,,,,,,16,"Golden Rock Thoroughbreds, Agent I",,
616,C,Volatile,NY,,4 / 113,1/4,21.3,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent VIII",,
618,F,Magic On Tap,FL,,4 / 85,1/8,10.2,,,,,,,,,,,,,,,6,RiceHorse Stable (Brandon & Ali Rice),,
620,C,McKinzie,ON,,4 / 8,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XV",,
622,C,Mitole,KY,,4 / 86,1/8,10.0,,,,,,,,,,,,,,,2,"L. G., Agent I",,
627,C,Corniche,KY,,4 / 92,1/4,21.2,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent I",,
629,C,Mind Control,NY,,4 / 112,1/8,10.2,,,,,,,,,,,,,,,17,"White Lilac (Katie Miranda), Agent",,
630,C,Girvin,KY,,4 / 48,1/4,21.3,,,,,,,,,,,,,,,4,Ocala Stud,,
631,C,Jackie's Warrior,KY,,4 / 69,1/8,9.4,,,,,,,,,,,,,,,6,"Britton Peak, Agent II",,
634,F,Tapit,KY,,4 / 44,1/8,10.0,,,,,,,,,,,,,,,13,"Azpurua Stables, Agent I",,
636,C,Bucchero,FL,,4 / 22,1/4,21.3,,,,,,,,,,,,,,,13,Blue River Bloodstock,,
637,F,Olympiad,KY,,4 / 27,1/8,10.0,,,,,,,,,,,,,,,6,"RiceHorse Stable (Brandon & Ali Rice), Agent",,
640,C,Army Mule,KY,,4 / 54,1/8,10.3,,,,,,,,,,,,,,,11,"Randy Miles, Agent VIII",,
641,F,Golden Pal,KY,,4 / 23,1/8,9.4,,,,,,,,,,,,,,,9,"Old South Farm LLC, Agent II",,
642,C,Catalina Cruiser,KY,,4 / 47,1/8,10.0,,,,,,,,,,,,,,,12,"Really and Truly Thoroughbreds, Agent I",,
643,F,Galilean,NY,,4 / 110,1/8,10.1,,,,,,,,,,,,,,,14,"Two Cousins Training and Sales, Agent III",,
644,F,Cairo Prince,KY,,4 / 66,1/8,10.1,,,,,,,,,,,,,,,10,"Flynt Fesmire, Agent I",,
647,C,Liam's Map,KY,,4 / 20,1/8,10.0,,,,,,,,,,,,,,,13,"Blue Sapphire Stables, Agent II",,
649,F,Yaupon,AR,,4 / 93,1/8,10.0,,,,,,,,,,,,,,,14,"Omar Ramirez Bloodstock, Agent I",,
651,F,Liam's Map,KY,,4 / 106,1/8,10.1,,,,,,,,,,,,,,,8,Andrew Phelan Bloodstock,,
656,F,Mitole,KY,,4 / 61,1/8,10.0,,,,,,,,,,,,,,,4,"Camelot Acres Racing and Sales, Agent I",,
658,C,Drain the Clock,OH,,4 / 51,1/8,10.0,,,,,,,,,,,,,,,14,"Omar Ramirez Bloodstock, Agent XIX",,
660,F,Corniche,KY,,4 / 16,1/8,9.4,,,,,,,,,,,,,,,6,"Britton Peak, Agent II",,
661,C,Maximus Mischief,KY,,4 / 70,1/8,9.4,,,,,,,,,,,,,,,3,Double R Equine Sales,,
662,F,Jack Christopher,KY,,4 / 28,1/8,10.1,,,,,,,,,,,,,,,15,"CM Thoroughbreds, Agent I",,
664,C,Complexity,KY,,4 / 1,1/4,21.3,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent",,
667,F,Global Campaign,KY,,4 / 41,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent IV",,
668,C,Dialed In,FL,,4 / 119,1/8,10.1,,,,,,,,,,,,,,,16,"Advanced Thoroughbreds LLC, Agent I",,
669,F,Happy Saver,KY,,4 / 36,1/8,10.2,,,,,,,,,,,,,,,13,Marco Hernandez Stables LLC,,
671,C,Nashville,ON,,4 / 59,1/8,10.0,,,,,,,,,,,,,,,18,"Twelve Toes LLC, Agent I",,
672,C,Greatest Honour,NY,,4 / 60,1/8,10.2,,,,,,,,,,,,,,,16,"Cuatro Caminos, Agent",,
673,F,Gun Runner,KY,,4 / 77,1/8,10.1,,,,,,,,,,,,,,,3,"Pick View LLC, Agent X",,
674,F,Girvin,KY,,4 / 13,1/8,9.4,,,,,,,,,,,,,,,8,"Niall Brennan Stables, Agent V",,
678,C,Dialed In,KY,,4 / 109,1/8,10.1,,,,,,,,,,,,,,,11,"Randy Miles, Agent VIII",,
679,F,Epicenter,KY,,4 / 52,1/8,10.0,,,,,,,,,,,,,,,18,"GOP Racing Stable Corp., Agent I",,
680,F,Charlatan,KY,,4 / 34,1/8,10.0,,,,,,,,,,,,,,,7,"Hoppel LLC, Agent XIX",,
682,C,Nashville,KY,,4 / 46,1/8,9.4,,,,,,,,,,,,,,,5,"S B M Training and Sales, Agent III",,
683,C,Epicenter,KY,,4 / 64,1/8,9.4,,,,,,,,,,,,,,,1,"Kings Equine, Agent IV",,
684,C,Independence Hall,IN,,4 / 107,1/4,21.1,,,,,,,,,,,,,,,3,"Pick View LLC, Agent XX",,
686,C,Nashville,KY,,4 / 118,1/8,10.2,,,,,,,,,,,,,,,14,"Winner Circle Racing Stable Corp., Agent",,
687,F,Gift Box,FL,,4 / 53,1/8,10.4,,,,,,,,,,,,,,,8,"Six K's Training & Sales LLC, Agent I",,
688,F,Jack Christopher,KY,,4 / 3,1/8,9.3,,,,,,,,,,,,,,,11,"Randy Miles, Agent VIII",,
689,C,Vino Rosso,NY,,4 / 55,1/8,10.1,,,,,,,,,,,,,,,12,"Thorostock LLC, Agent I",,
690,C,Nashville,KY,,4 / 4,1/8,10.0,,,,,,,,,,,,,,,13,"Azpurua Stables, Agent I",,
694,F,Constitution,KY,,4 / 6,1/8,10.0,,,,,,,,,,,,,,,12,"de Meric Sales, Agent IX",,
695,C,Bolt d'Oro,KY,,4 / 45,1/4,20.3,,,,,,,,,,,,,,,3,"Pick View LLC, Agent XXXIII",,
697,F,Corniche,KY,,4 / 97,1/8,10.1,,,,,,,,,,,,,,,12,"de Meric Sales, Agent",,
698,F,Flightline,KY,,4 / 35,1/8,10.0,,,,,,,,,,,,,,,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VI",,
699,F,Practical Joke,KY,,4 / 19,1/8,10.0,,,,,,,,,,,,,,,17,"Caliente Thoroughbreds, Agent VI",,
700,C,Maximus Mischief,KY,,4 / 25,1/8,10.1,,,,,,,,,,,,,,,15,Goldencents Thoroughbreds,,
701,G,Girvin,KY,,4 / 117,1/8,10.1,,,,,,,,,,,,,,,14,"F. Alanis Stables, Agent",,
702,F,Jackie's Warrior,KY,,4 / 7,1/8,9.4,,,,,,,,,,,,,,,7,"Julie Davies LLC, Agent VII",,
703,F,Connect,NY,,4 / 78,1/8,10.1,,,,,,,,,,,,,,,11,"Randy Miles, Agent VIII",,
705,C,Bolt d'Oro,KY,,4 / 15,1/8,9.4,,,,,,,,,,,,,,,11,"Randy Miles, Agent IX",,
706,F,Early Voting,KY,,4 / 120,1/8,10.1,,,,,,,,,,,,,,,14,A. G. Sales,,
707,C,Good Magic,KY,,4 / 87,1/8,10.1,,,,,,,,,,,,,,,17,"Caliente Thoroughbreds, Agent XVI",,
711,F,Mandaloun,KY,,4 / 111,1/8,10.3,,,,,,,,,,,,,,,15,Two Oaks Equine,,
712,C,Vekoma,KY,,4 / 17,1/8,10.1,,,,,,,,,,,,,,,3,"Global Thoroughbreds LLC, Agent I",,
714,F,Nashville,KY,,4 / 26,1/8,9.4,,,,,,,,,,,,,,,13,"First Call, Agent",,
715,C,Greatest Honour,FL,,4 / 38,1/8,10.1,,,,,,,,,,,,,,,15,Nice and Easy Thoroughbreds,,
716,C,Golden Pal,KY,,4 / 24,1/8,9.4,,,,,,,,,,,,,,,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,
717,F,Corniche,KY,,4 / 73,1/8,10.0,,,,,,,,,,,,,,,3,"J V C Training and Sales, Agent III",,
718,F,Jackie's Warrior,KY,,4 / 72,1/4,20.4,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent XII",,
720,F,Mutasaabeq,FL,,4 / 90,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent VI",,
721,C,Mind Control,OH,,4 / 115,1/8,10.2,,,,,,,,,,,,,,,15,Sweet River Thoroughbreds,,
722,C,Authentic,KY,,4 / 2,1/8,10.1,,,,,,,,,,,,,,,3,"Pick View LLC, Agent XXVI",,
726,F,Thousand Words,KY,,4 / 104,1/8,10.2,,,,,,,,,,,,,,,17,"My Little Stable Racing, Inc., Agent",,
727,F,Nashville,KY,,4 / 95,1/8,9.4,,,,,,,,,,,,,,,7,"Julie Davies LLC, Agent II",,
729,F,Mitole,KY,,4 / 108,1/8,10.1,,,,,,,,,,,,,,,18,Navas Equine,,
730,C,Violence,ON,,4 / 65,1/8,10.0,,,,,,,,,,,,,,,14,"Grade One Investments LLC, Agent I",,
731,C,Omaha Beach,KY,,4 / 12,1/8,10.3,,,,,,,,,,,,,,,17,Next Level Thoroughbreds,,
734,F,Life Is Good,NY,,4 / 43,1/8,10.0,,,,,,,,,,,,,,,9,"Sequel Bloodstock, Agent for Chester Broman",,
735,C,Gun Runner,KY,,4 / 79,1/8,10.0,,,,,,,,,,,,,,,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent IV",,
736,C,Tunwoo,FL,,4 / 62,1/8,10.0,,,,,,,,,,,,,,,17,"Champions of the Future, Agent IV",,
737,C,Nashville,NY,,4 / 11,1/8,9.4,,,,,,,,,,,,,,,1,"Kings Equine, Agent",,
738,C,Modernist,KY,,4 / 80,1/8,10.3,,,,,,,,,,,,,,,14,Great Destiny,,
740,F,Mo Donegal,KY,,4 / 30,1/8,10.2,,,,,,,,,,,,,,,14,"Little Farm Equine LLC, Agent I",,
742,F,Cyberknife,KY,,4 / 96,1/8,9.4,,,,,,,,,,,,,,,1,"Kings Equine, Agent",,
746,C,Drain the Clock,OK,,4 / 89,1/8,10.0,,,,,,,,,,,,,,,9,"Old South Farm LLC, Agent",,
748,C,Drain the Clock,KY,,4 / 21,1/4,20.1,,,,,,,,,,,,,,,16,"Doble J Equine Sales, Agent I",,
750,C,Drain the Clock,KY,,4 / 58,1/8,10.0,,,,,,,,,,,,,,,7,"Julie Davies LLC, Agent",,
755,C,Practical Joke,NY,,4 / 57,1/8,10.0,,,,,,,,,,,,,,,12,"de Meric Sales, Agent XVI",,
758,C,Engage,MD,,4 / 68,1/8,11.0,,,,,,,,,,,,,,,18,"Golden Noguez, Agent I",,
762,F,Authentic,KY,,4 / 63,1/8,10.2,,,,,,,,,,,,,,,17,Cruzin' Thoroughbreds LLC,,
768,C,Drain the Clock,KY,,4 / 67,1/8,10.1,,,,,,,,,,,,,,,3,"Global Thoroughbreds LLC, Agent",,
769,C,Jack Christopher,KY,,4 / 50,1/8,10.0,,,,,,,,,,,,,,,8,"Paul Sharp, Agent III",,
770,F,Bolt d'Oro,KY,,4 / 40,1/4,21.2,,,,,,,,,,,,,,,2,"Hidden Brook, Agent III",,
773,C,Omaha Beach,KY,,4 / 33,1/8,9.4,,,,,,,,,,,,,,,17,"King of Kings, Agent",,
777,C,Vino Rosso,KY,,4 / 105,1/8,10.0,,,,,,,,,,,,,,,16,"RM Stables LLC, Agent IV",,
779,C,Cairo Prince,KY,,4 / 94,1/8,10.1,,,,,,,,,,,,,,,11,"Randy Miles, Agent VIII",,
780,F,Runhappy,KY,,4 / 32,1/8,10.2,,,,,,,,,,,,,,,3,"Marcial Galan, Agent",,
781,C,Central Banker,NY,,4 / 114,1/8,10.3,,,,,,,,,,,,,,,16,"Blas Perez Stables, Agent II",,
782,C,Global Campaign,KY,,4 / 14,1/4,20.3,,,,,,,,,,,,,,,14,"Omar Ramirez Bloodstock, Agent XII",,
784,F,Jack Christopher,NY,,4 / 10,1/8,10.0,,,,,,,,,,,,,,,18,GOP Racing Stable Corp.,,
785,C,Mind Control,NY,,4 / 91,1/8,9.4,,,,,,,,,,,,,,,13,"Blue Sapphire Stables, Agent",,
786,C,Caracaro,KY,,4 / 37,1/8,10.2,,,,,,,,,,,,,,,14,New Hope AB LLC,,
787,F,Echo Town,KY,,4 / 81,1/8,10.0,,,,,,,,,,,,,,,3,Mayberry Farm,,
788,F,Keepmeinmind,NY,,4 / 49,1/8,10.3,,,,,,,,,,,,,,,18,Navas Equine,,
789,C,Jack Christopher,KY,,4 / 5,1/8,10.0,,,,,,,,,,,,,,,18,Navas Equine,,
791,F,Vekoma,KY,,4 / 9,1/8,10.0,,,,,,,,,,,,,,,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent V",,
792,F,Beau Liam,FL,,4 / 103,1/8,10.2,,,,,,,,,,,,,,,17,"Skies Thoroughbreds, Agent I",,
793,C,Jack Christopher,KY,,4 / 31,1/8,9.4,,,,,,,,,,,,,,,2,"L. G., Agent I",,
795,C,Charlatan,KY,,4 / 102,1/8,10.0,,,,,,,,,,,,,,,18,GOP Racing Stable Corp.,,
796,F,Nashville,FL,,4 / 75,1/8,9.4,,,,,,,,,,,,,,,15,"Goldencents Thoroughbreds, Agent",,
799,F,Charlatan,KY,,4 / 29,1/8,10.2,,,,,,,,,,,,,,,8,Cortez Racing & Sales,,
801,F,Mo Donegal,KY,,4 / 82,1/8,10.0,,,,,,,,,,,,,,,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,
802,C,Jack Christopher,KY,,4 / 71,1/8,11.0,,,,,,,,,,,,,,,17,"Five Point Thoroughbreds, Agent",,
804,C,Jack Christopher,KY,,4 / 74,1/8,10.1,,,,,,,,,,,,,,,5,"Hartley / DeRenzo Thoroughbreds LLC, Agent I",,
805,F,Greatest Honour,NY,,4 / 98,1/8,9.4,,,,,,,,,,,,,,,16,"Golden Rock Thoroughbreds, Agent IV",,
806,F,Cyberknife,KY,,4 / 18,1/8,10.1,,,,,,,,,,,,,,,16,"Golden Rock Thoroughbreds, Agent V",,
807,F,Olympiad,KY,,4 / 101,1/8,10.0,,,,,,,,,,,,,,,9,Potrero Stables,,
808,C,Golden Pal,ON,,4 / 84,1/4,20.4,,,,,,,,,,,,,,,16,"Doble J Equine Sales, Agent I",,
810,C,Epicenter,KY,,4 / 88,1/4,21.1,,,,,,,,,,,,,,,8,"Cortez Racing & Sales, Agent",,
812,F,Maxfield,KY,,4 / 39,1/8,10.0,,,,,,,,,,,,,,,11,"Randy Miles, Agent VIII",,
813,C,Pinehurst,KY,,4 / 99,1/8,10.1,,,,,,,,,,,,,,,7,Angel Ordonez Thoroughbreds,,
816,C,Golden Pal,KY,,4 / 83,1/8,9.4,,,,,,,,,,,,,,,7,"Hoppel LLC, Agent XVIII",,
